State,MeanActScore,MeanActScorePoints,MeanSatScore,MeanSatScorePoints,GraduationRate,GraduationRatePoints,EducationRank,TotalPoints,PointsMultiplier
Minnesota,21.0,27,1225,45,93.4%,94,1,50,100
Wyoming,19.2,14,1244,49,93.6%,98,2,49,98
Maine,25.1,44,1081,22,93.2%,90,3,48,96
Montana,19.3,16,1206,40,94.0%,100,4,47,94
Vermont,23.7,35,1095,24,93.5%,96,5,46,92
New Hampshire,25.7,47,1050,15,93.3%,92,6,45,90
Utah,19.9,22,1233,47,93.0%,84,7,44,88
Wisconsin,19.4,17,1252,50,92.6%,82,8,43,86
South Dakota,21.5,29,1219,43,92.2%,76,9,42,84
Iowa,21.4,28,1196,37,92.5%,80,10,41,82
North Dakota,19.2,15,1212,41,93.1%,88,11,40,80
Kansas,19.9,23,1238,48,91.4%,68,12,39,78
Alaska,20.4,25,1110,26,93.1%,86,13,38,76
Washington,24.6,39,1096,25,91.7%,72,14,37,74
Nebraska,19.4,18,1222,44,91.6%,70,15,36,72
Oregon,23.0,33,1143,31,91.1%,62,16,35,70
Massachusetts,26.5,49,1029,13,91.1%,60,17,34,68
Colorado,23.2,34,1021,11,92.1%,74,18,33,66
Pennsylvania,24.4,36,1091,23,91.0%,58,19,32,64
Virginia,24.6,41,1124,29,90.3%,46,20,31,62
Connecticut,26.3,48,1025,12,90.9%,56,21,30,60
Hawaii,18.8,10,1124,28,92.5%,78,22,29,58
Missouri,20.2,24,1200,39,90.6%,52,23,28,56
Michigan,24.6,40,1000,9,91.3%,66,24,27,54
New Jersey,24.6,42,1079,21,90.3%,44,25,26,52
Maryland,24.4,37,1075,20,90.6%,50,26,25,50
Idaho,22.8,31,968,3,91.3%,64,27,24,48
Delaware,24.9,43,968,4,90.6%,48,28,23,46
Indiana,22.8,32,1073,19,89.3%,40,29,22,44
Ohio,19.4,19,1053,16,90.8%,54,30,21,42
Rhode Island,25.2,45,971,5,89.2%,38,31,20,40
Illinois,24.5,38,981,7,89.7%,42,32,19,38
New York,25.3,46,1067,18,87.2%,16,33,18,36
California,26.5,50,1115,27,83.9%,2,34,17,34
Tennessee,18.6,8,1200,38,88.2%,28,35,16,32
Kentucky,18.6,9,1219,42,87.2%,20,36,15,30
Georgia,21.6,30,1060,17,87.9%,24,37,14,28
North Carolina,18.5,7,1136,30,88.5%,34,38,13,26
Arkansas,18.8,11,1191,36,87.2%,18,39,12,24
Arizona,18.4,6,1159,33,87.9%,26,40,11,22
South Carolina,18.9,12,1030,14,88.3%,30,41,10,20
Mississippi,17.8,2,1226,46,85.3%,6,42,9,18
Florida,19.0,13,983,8,88.5%,32,43,8,16
Nevada,17.3,1,1172,35,86.9%,14,44,7,14
West Virginia,20.5,26,938,1,87.6%,22,45,6,12
Alabama,18.0,4,1146,32,86.9%,12,46,5,10
Louisiana,18.1,5,1171,34,85.9%,8,47,4,8
Oklahoma,17.9,3,951,2,88.6%,36,48,3,6
New Mexico,19.8,20,976,6,86.5%,10,49,2,4
Texas,19.8,21,1001,10,84.4%,4,50,1,2
