State,Governor Party,Senate Party,Political Leaning
Alabama,Republican,Republican,Republican
Alaska,Republican,Republican,Republican
Arizona,Democratic,Democratic,Democratic
Arkansas,Republican,Republican,Republican
California,Democratic,Democratic,Democratic
Colorado,Democratic,Democratic,Democratic
Connecticut,Democratic,Democratic,Democratic
Delaware,Democratic,Democratic,Democratic
Florida,Republican,Republican,Republican
Georgia,Republican,Democratic,Swing State
Hawaii,Democratic,Democratic,Democratic
Idaho,Republican,Republican,Republican
Illinois,Democratic,Democratic,Democratic
Indiana,Republican,Republican,Republican
Iowa,Republican,Republican,Republican
Kansas,Democratic,Republican,Swing State
Kentucky,Democratic,Republican,Swing State
Louisiana,Democratic,Republican,Swing State
Maine,Democratic,Republican,Swing State
Maryland,Democratic,Democratic,Democratic
Massachusetts,Democratic,Democratic,Democratic
Michigan,Democratic,Democratic,Democratic
Minnesota,Democratic,Democratic,Democratic
Mississippi,Republican,Republican,Republican
Missouri,Republican,Republican,Republican
Montana,Republican,Both,Swing State
Nebraska,Republican,Republican,Republican
Nevada,Republican,Democratic,Swing State
New Hampshire,Republican,Democratic,Swing State
New Jersey,Democratic,Democratic,Democratic
New Mexico,Democratic,Democratic,Democratic
New York,Democratic,Democratic,Democratic
North Carolina,Democratic,Republican,Swing State
North Dakota,Republican,Republican,Republican
Ohio,Republican,Both,Swing State
Oklahoma,Republican,Republican,Republican
Oregon,Democratic,Democratic,Democratic
Pennsylvania,Democratic,Democratic,Democratic
Rhode Island,Democratic,Democratic,Democratic
South Carolina,Republican,Republican,Republican
South Dakota,Republican,Republican,Republican
Tennessee,Republican,Republican,Republican
Texas,Republican,Republican,Republican
Utah,Republican,Republican,Republican
Vermont,Republican,Democratic,Swing State
Virginia,Republican,Democratic,Swing State
Washington,Democratic,Democratic,Democratic
West Virginia,Republican,Both,Swing State
Wisconsin,Democratic,Both,Swing State
Wyoming,Republican,Republican,Republican
