State,StateParks,NationalParks,ParksPoints,NaturalBeautyRank,NaturalBeautyRankPoints,RecreationRank,RecreationPoints,PointsMultiplier
California,270,9,50,1,50,1,50,50
Alaska,119,8,49,3,48,2,49,49
Utah,44,5,46,4,47,3,48,48
Washington,212,3,48,6,45,3,48,48
Colorado,43,4,44,5,46,5,46,46
Oregon,195,1,45,7,44,6,45,45
Hawaii,50,2,36,2,49,7,44,44
Arizona,36,3,41,9,42,8,43,43
Michigan,104,1,39,8,43,9,42,42
Florida,191,3,47,18,33,10,41,41
Montana,53,2,37,11,40,11,40,40
New York,215,0,43,17,34,11,40,40
Wyoming,31,2,31,10,41,13,38,38
Texas,99,2,42,22,29,14,37,37
New Mexico,34,2,33,14,37,15,36,36
South Dakota,63,2,40,21,30,15,36,36
Maine,83,1,32,15,36,17,34,34
Massachusetts,154,0,39,28,23,18,33,33
North Carolina,41,1,20,12,39,19,32,32
Tennessee,56,1,25,20,31,20,31,31
Minnesota,67,1,27,24,27,21,30,30
Nevada,23,2,29,26,25,21,30,30
West Virginia,45,1,21,19,32,23,28,28
Idaho,32,1,17,16,35,24,27,27
Vermont,58,0,10,13,38,25,26,26
Arkansas,52,1,24,27,24,25,26,26
Virginia,37,1,19,25,26,27,24,24
Missouri,93,1,35,41,10,27,24,24
Wisconsin,76,0,16,23,28,29,22,22
Pennsylvania,121,0,28,35,16,29,22,22
South Carolina,47,1,22,30,21,31,20,20
Kentucky,50,1,23,31,20,31,20,20
Connecticut,109,0,26,40,11,33,18,18
Ohio,75,1,30,44,7,33,18,18
Illinois,142,0,34,48,3,33,18,18
New Hampshire,68,0,12,32,19,36,15,15
Maryland,46,0,8,29,22,37,14,14
Georgia,63,0,11,33,18,38,13,13
New Jersey,50,0,9,37,14,39,12,12
Nebraska,74,0,15,43,8,39,12,12
North Dakota,20,1,13,42,9,41,10,10
Indiana,34,1,18,47,4,41,10,10
Louisiana,40,0,7,38,13,43,8,8
Rhode Island,15,0,1,34,17,44,7,7
Alabama,22,0,3,36,15,44,7,7
Iowa,71,0,14,50,1,46,5,5
Delaware,16,0,2,39,12,47,4,4
Oklahoma,39,0,6,46,5,48,3,3
Mississippi,25,0,4,45,6,49,2,2
Kansas,26,0,5,49,2,50,1,1
