State,2020 Population,Crime Reported,Crime Rate,Violent Crimes,Violent Crime Rate,Non-Violent Crime,Non-Violent Crime Rate
District of Columbia,712816,14113,7986,7127,999.84,49798,6986
New Mexico,2106319,22077,6462,16393,778.28,119718,5684
Louisiana,4645318,35473,6408,29704,639.44,267978,5769
Colorado,5807719,30238,6091,24570,423.06,329164,5668
South Carolina,5218040,33133,5973,27691,530.68,283974,5442
Arkansas,3030522,25590,5899,20363,671.93,158400,5227
Oklahoma,3980783,23666,5870,18255,458.58,215410,5411
Washington,7693612,28061,5759,22596,293.7,420446,5465
Tennessee,6886834,51314,5658,46328,672.7,343350,4986
Oregon,4241507,17698,5610,12380,291.88,225564,5318
Missouri,6151548,38447,5605,33385,542.71,311396,5062
Alaska,731158,10647,5359,6126,837.85,33056,4521
Utah,3249879,13400,5190,8471,260.66,160182,4929
Hawaii,1407006,8399,5077,3576,254.16,67856,4823
Arizona,7421401,40435,4940,35980,484.81,330646,4455
Texas,29360759,135574,4937,131084,446.46,1318320,4490
North Carolina,10600823,48904,4872,44451,419.32,472052,4453
Kansas,2913805,16783,4823,12385,425.05,128154,4398
Alabama,4921532,26596,4727,22322,453.56,210322,4274
California,39368078,178304,4720,174026,442.05,1684108,4278
Montana,1080577,9319,4711,5077,469.84,45834,4242
North Dakota,765309,6766,4577,2518,329.02,32512,4248
Minnesota,5657342,19948,4527,15698,277.48,240424,4250
Mississippi,2966786,12841,4494,8638,291.16,124702,4203
South Dakota,892717,8389,4415,4476,501.39,34936,3913
Georgia,10710017,46865,4415,42850,400.09,429976,4015
Delaware,986809,8185,4355,4262,431.9,38710,3923
Nevada,3138259,18298,4314,14445,460.29,120924,3853
Nebraska,1937552,10291,4152,6473,334.08,73982,3818
Ohio,11693217,39805,4009,36104,308.76,432726,3701
Indiana,6754953,27727,3924,24161,357.68,240906,3566
Florida,21733312,86907,3922,83368,383.6,769112,3539
Kentucky,4477251,15159,3818,11600,259.09,159346,3559
Iowa,3163561,12997,3700,9601,303.49,107450,3396
Pennsylvania,12783254,53081,3678,49793,389.52,420334,3288
Maryland,6055802,27435,3619,24215,399.86,194974,3220
Illinois,12587530,56731,3545,53612,425.91,392574,3119
Wyoming,582328,4585,3455,1364,234.23,18758,3221
Connecticut,3557006,9589,3312,6459,181.59,111340,3130
Wisconsin,5832655,21832,3295,18861,323.37,173308,2971
Michigan,9966555,50363,3200,47641,478.01,271266,2722
New York,19336776,73160,3185,70339,363.76,545576,2821
West Virginia,1784787,9151,3155,6352,355.9,49952,2799
Virginia,8590563,20838,3121,17925,208.66,250228,2913
Rhode Island,1057125,4931,2722,2440,230.81,26332,2491
Vermont,623347,3515,2607,1081,173.42,15172,2434
New Jersey,8882371,19669,2512,17353,195.37,205750,2316
Idaho,1826913,6656,2466,4432,242.59,40626,2224
Maine,1350141,3778,2421,1466,108.58,31220,2312
Massachusetts,6893574,23394,2415,21288,308.81,145204,2106
New Hampshire,1366275,4198,2344,2000,146.38,30028,2198
